step,episode,episode_return,episode_len,epsilon,success
64,0,-0.6400,64,0.9994,0
128,1,-0.6400,64,0.9988,0
192,2,-0.6400,64,0.9982,0
256,3,-0.6400,64,0.9976,0
320,4,-0.6400,64,0.9970,0
384,5,-0.6400,64,0.9964,0
448,6,-0.6400,64,0.9957,0
512,7,-0.6400,64,0.9951,0
576,8,-0.6400,64,0.9945,0
640,9,-0.6400,64,0.9939,0
704,10,-0.6400,64,0.9933,0
768,11,-0.6400,64,0.9927,0
832,12,-0.6400,64,0.9921,0
896,13,-0.6400,64,0.9915,0
960,14,-0.6400,64,0.9909,0
1024,15,-0.6400,64,0.9903,0
1088,16,-0.6400,64,0.9897,0
1152,17,-0.6400,64,0.9891,0
1216,18,-0.6400,64,0.9884,0
1280,19,-0.6400,64,0.9878,0
1344,20,-0.6400,64,0.9872,0
1408,21,-0.6400,64,0.9866,0
1472,22,-0.6400,64,0.9860,0
1536,23,-0.6400,64,0.9854,0
1600,24,-0.6400,64,0.9848,0
1664,25,-0.6400,64,0.9842,0
1728,26,-0.6400,64,0.9836,0
1792,27,-0.6400,64,0.9830,0
1856,28,-0.6400,64,0.9824,0
1920,29,-0.6400,64,0.9818,0
1984,30,-0.6400,64,0.9812,0
2048,31,-0.6400,64,0.9805,0
2112,32,-0.6400,64,0.9799,0
2176,33,-0.6400,64,0.9793,0
2240,34,-0.6400,64,0.9787,0
2304,35,-0.6400,64,0.9781,0
2368,36,-0.6400,64,0.9775,0
2432,37,-0.6400,64,0.9769,0
2496,38,-0.6400,64,0.9763,0
2560,39,-0.6400,64,0.9757,0
2624,40,-0.6400,64,0.9751,0
2688,41,-0.6400,64,0.9745,0
2752,42,-0.6400,64,0.9739,0
2816,43,-0.6400,64,0.9732,0
2880,44,-0.6400,64,0.9726,0
2944,45,-0.6400,64,0.9720,0
3008,46,-0.6400,64,0.9714,0
3072,47,-0.6400,64,0.9708,0
3136,48,-0.6400,64,0.9702,0
3200,49,-0.6400,64,0.9696,0
3264,50,-0.6400,64,0.9690,0
3328,51,-0.6400,64,0.9684,0
3392,52,-0.6400,64,0.9678,0
3456,53,-0.6400,64,0.9672,0
3520,54,-0.6400,64,0.9666,0
3584,55,-0.6400,64,0.9660,0
3648,56,-0.6400,64,0.9653,0
3712,57,-0.6400,64,0.9647,0
3776,58,-0.6400,64,0.9641,0
3840,59,-0.6400,64,0.9635,0
3904,60,-0.6400,64,0.9629,0
3968,61,-0.6400,64,0.9623,0
4032,62,-0.6400,64,0.9617,0
4096,63,-0.6400,64,0.9611,0
4160,64,-0.6400,64,0.9605,0
4224,65,-0.6400,64,0.9599,0
4288,66,-0.6400,64,0.9593,0
4352,67,-0.6400,64,0.9587,0
4416,68,-0.6400,64,0.9580,0
4480,69,-0.6400,64,0.9574,0
4544,70,-0.6400,64,0.9568,0
4608,71,-0.6400,64,0.9562,0
4672,72,-0.6400,64,0.9556,0
4736,73,-0.6400,64,0.9550,0
4800,74,-0.6400,64,0.9544,0
4864,75,-0.6400,64,0.9538,0
4928,76,-0.6400,64,0.9532,0
4992,77,-0.6400,64,0.9526,0
5056,78,-0.6400,64,0.9520,0
5120,79,-0.6400,64,0.9514,0
5184,80,-0.6400,64,0.9508,0
5248,81,-0.6400,64,0.9501,0
5312,82,-0.6400,64,0.9495,0
5376,83,-0.6400,64,0.9489,0
5440,84,-0.6400,64,0.9483,0
5504,85,-0.6400,64,0.9477,0
5568,86,-0.6400,64,0.9471,0
5632,87,-0.6400,64,0.9465,0
5696,88,-0.6400,64,0.9459,0
5760,89,-0.6400,64,0.9453,0
5824,90,-0.6400,64,0.9447,0
5888,91,-0.6400,64,0.9441,0
5952,92,-0.6400,64,0.9435,0
6016,93,-0.6400,64,0.9428,0
6080,94,-0.6400,64,0.9422,0
6144,95,-0.6400,64,0.9416,0
6208,96,-0.6400,64,0.9410,0
6272,97,-0.6400,64,0.9404,0
6336,98,-0.6400,64,0.9398,0
