step,episode,episode_return,episode_len,epsilon,success
64,0,-0.6400,64,0.9996,0
128,1,-0.6400,64,0.9992,0
192,2,-0.6400,64,0.9988,0
256,3,-0.6400,64,0.9984,0
320,4,-0.6400,64,0.9980,0
384,5,-0.6400,64,0.9976,0
448,6,-0.6400,64,0.9972,0
512,7,-0.6400,64,0.9968,0
576,8,-0.6400,64,0.9964,0
640,9,-0.6400,64,0.9959,0
704,10,-0.6400,64,0.9955,0
768,11,-0.6400,64,0.9951,0
832,12,-0.6400,64,0.9947,0
896,13,-0.6400,64,0.9943,0
960,14,-0.6400,64,0.9939,0
1024,15,-0.6400,64,0.9935,0
1088,16,-0.6400,64,0.9931,0
1152,17,-0.6400,64,0.9927,0
1216,18,-0.6400,64,0.9923,0
1280,19,-0.6400,64,0.9919,0
1344,20,-0.6400,64,0.9915,0
1408,21,-0.6400,64,0.9911,0
1472,22,-0.6400,64,0.9907,0
1536,23,-0.6400,64,0.9903,0
1600,24,-0.6400,64,0.9899,0
1664,25,-0.6400,64,0.9895,0
1728,26,-0.6400,64,0.9891,0
1792,27,-0.6400,64,0.9887,0
1856,28,-0.6400,64,0.9882,0
1920,29,-0.6400,64,0.9878,0
1984,30,-0.6400,64,0.9874,0
2048,31,-0.6400,64,0.9870,0
2112,32,-0.6400,64,0.9866,0
2176,33,-0.6400,64,0.9862,0
2240,34,-0.6400,64,0.9858,0
2304,35,-0.6400,64,0.9854,0
2368,36,-0.6400,64,0.9850,0
2432,37,-0.6400,64,0.9846,0
2496,38,-0.6400,64,0.9842,0
2560,39,-0.6400,64,0.9838,0
2624,40,-0.6400,64,0.9834,0
2688,41,-0.6400,64,0.9830,0
2752,42,-0.6400,64,0.9826,0
2816,43,-0.6400,64,0.9822,0
2880,44,-0.6400,64,0.9818,0
2944,45,-0.6400,64,0.9814,0
3008,46,-0.6400,64,0.9809,0
3072,47,-0.6400,64,0.9805,0
3136,48,-0.6400,64,0.9801,0
3200,49,-0.6400,64,0.9797,0
3264,50,-0.6400,64,0.9793,0
3328,51,-0.6400,64,0.9789,0
3392,52,-0.6400,64,0.9785,0
3456,53,-0.6400,64,0.9781,0
3520,54,-0.6400,64,0.9777,0
3584,55,-0.6400,64,0.9773,0
3648,56,-0.6400,64,0.9769,0
3712,57,-0.6400,64,0.9765,0
3776,58,-0.6400,64,0.9761,0
3840,59,-0.6400,64,0.9757,0
3904,60,-0.6400,64,0.9753,0
3968,61,-0.6400,64,0.9749,0
4032,62,-0.6400,64,0.9745,0
4096,63,-0.6400,64,0.9741,0
4160,64,-0.6400,64,0.9737,0
4224,65,-0.6400,64,0.9732,0
4288,66,-0.6400,64,0.9728,0
4352,67,-0.6400,64,0.9724,0
4416,68,-0.6400,64,0.9720,0
4480,69,-0.6400,64,0.9716,0
4544,70,-0.6400,64,0.9712,0
4608,71,-0.6400,64,0.9708,0
4672,72,-0.6400,64,0.9704,0
4736,73,-0.6400,64,0.9700,0
4800,74,-0.6400,64,0.9696,0
4864,75,-0.6400,64,0.9692,0
4928,76,-0.6400,64,0.9688,0
4992,77,-0.6400,64,0.9684,0
5056,78,-0.6400,64,0.9680,0
5120,79,-0.6400,64,0.9676,0
5184,80,-0.6400,64,0.9672,0
5248,81,-0.6400,64,0.9668,0
5312,82,-0.6400,64,0.9664,0
5376,83,-0.6400,64,0.9660,0
5440,84,-0.6400,64,0.9655,0
5504,85,-0.6400,64,0.9651,0
5568,86,-0.6400,64,0.9647,0
5632,87,-0.6400,64,0.9643,0
5696,88,-0.6400,64,0.9639,0
5760,89,-0.6400,64,0.9635,0
5824,90,-0.6400,64,0.9631,0
5888,91,-0.6400,64,0.9627,0
5952,92,-0.6400,64,0.9623,0
6016,93,-0.6400,64,0.9619,0
6080,94,-0.6400,64,0.9615,0
6144,95,-0.6400,64,0.9611,0
6208,96,-0.6400,64,0.9607,0
6272,97,-0.6400,64,0.9603,0
6336,98,-0.6400,64,0.9599,0
6400,99,-0.6400,64,0.9595,0
6464,100,-0.6400,64,0.9591,0
6528,101,-0.6400,64,0.9587,0
6592,102,-0.6400,64,0.9583,0
6656,103,-0.6400,64,0.9578,0
6720,104,-0.6400,64,0.9574,0
6784,105,-0.6400,64,0.9570,0
6848,106,-0.6400,64,0.9566,0
6912,107,-0.6400,64,0.9562,0
6976,108,-0.6400,64,0.9558,0
7040,109,-0.6400,64,0.9554,0
7104,110,-0.6400,64,0.9550,0
7168,111,-0.6400,64,0.9546,0
7232,112,-0.6400,64,0.9542,0
7296,113,-0.6400,64,0.9538,0
7360,114,-0.6400,64,0.9534,0
7424,115,-0.6400,64,0.9530,0
7488,116,-0.6400,64,0.9526,0
7552,117,-0.6400,64,0.9522,0
7616,118,-0.6400,64,0.9518,0
7680,119,-0.6400,64,0.9514,0
7744,120,-0.6400,64,0.9510,0
7808,121,-0.6400,64,0.9505,0
7872,122,-0.6400,64,0.9501,0
7936,123,-0.6400,64,0.9497,0
8000,124,-0.6400,64,0.9493,0
8064,125,-0.6400,64,0.9489,0
8128,126,-0.6400,64,0.9485,0
8192,127,-0.6400,64,0.9481,0
8256,128,-0.6400,64,0.9477,0
8320,129,-0.6400,64,0.9473,0
8384,130,-0.6400,64,0.9469,0
8448,131,-0.6400,64,0.9465,0
8512,132,-0.6400,64,0.9461,0
8576,133,-0.6400,64,0.9457,0
8640,134,-0.6400,64,0.9453,0
8704,135,-0.6400,64,0.9449,0
8768,136,-0.6400,64,0.9445,0
8832,137,-0.6400,64,0.9441,0
8896,138,-0.6400,64,0.9437,0
8960,139,-0.6400,64,0.9433,0
9024,140,-0.6400,64,0.9428,0
9088,141,-0.6400,64,0.9424,0
9152,142,-0.6400,64,0.9420,0
9216,143,-0.6400,64,0.9416,0
9280,144,-0.6400,64,0.9412,0
9344,145,-0.6400,64,0.9408,0
9408,146,-0.6400,64,0.9404,0
9472,147,-0.6400,64,0.9400,0
9536,148,-0.6400,64,0.9396,0
9600,149,-0.6400,64,0.9392,0
9664,150,-0.6400,64,0.9388,0
9728,151,-0.6400,64,0.9384,0
9792,152,-0.6400,64,0.9380,0
9856,153,-0.6400,64,0.9376,0
9920,154,-0.6400,64,0.9372,0
9984,155,-0.6400,64,0.9368,0
10048,156,-0.6400,64,0.9364,0
10112,157,-0.6400,64,0.9360,0
10176,158,-0.6400,64,0.9356,0
10240,159,-0.6400,64,0.9351,0
10304,160,-0.6400,64,0.9347,0
10368,161,-0.6400,64,0.9343,0
10432,162,-0.6400,64,0.9339,0
10496,163,-0.6400,64,0.9335,0
10560,164,-0.6400,64,0.9331,0
10624,165,-0.6400,64,0.9327,0
10688,166,-0.6400,64,0.9323,0
10752,167,-0.6400,64,0.9319,0
10816,168,-0.6400,64,0.9315,0
10880,169,-0.6400,64,0.9311,0
10944,170,-0.6400,64,0.9307,0
11008,171,-0.6400,64,0.9303,0
11072,172,-0.6400,64,0.9299,0
11136,173,-0.6400,64,0.9295,0
11200,174,-0.6400,64,0.9291,0
11264,175,-0.6400,64,0.9287,0
11328,176,-0.6400,64,0.9283,0
11392,177,-0.6400,64,0.9279,0
11456,178,-0.6400,64,0.9274,0
11520,179,-0.6400,64,0.9270,0
11584,180,-0.6400,64,0.9266,0
11648,181,-0.6400,64,0.9262,0
11712,182,-0.6400,64,0.9258,0
11776,183,-0.6400,64,0.9254,0
11840,184,-0.6400,64,0.9250,0
11904,185,-0.6400,64,0.9246,0
11968,186,-0.6400,64,0.9242,0
12032,187,-0.6400,64,0.9238,0
12096,188,-0.6400,64,0.9234,0
12160,189,-0.6400,64,0.9230,0
12224,190,-0.6400,64,0.9226,0
12288,191,-0.6400,64,0.9222,0
12352,192,-0.6400,64,0.9218,0
12416,193,-0.6400,64,0.9214,0
12480,194,-0.6400,64,0.9210,0
12544,195,-0.6400,64,0.9206,0
12608,196,-0.6400,64,0.9201,0
12672,197,-0.6400,64,0.9197,0
12736,198,-0.6400,64,0.9193,0
12800,199,-0.6400,64,0.9189,0
12864,200,-0.6400,64,0.9185,0
12928,201,-0.6400,64,0.9181,0
12992,202,-0.6400,64,0.9177,0
13056,203,-0.6400,64,0.9173,0
